1,1.1,25738,155190,828,1995-02-18,2-HIGH,0,17,2116823,7730149,4,2032150,74711,2,1995-03-31,TRUCK,
1,2,25738,67310,163,1995-02-18,2-HIGH,0,36,4598316,7730149,9,4184467,76638,6,1995-04-16,MAIL,
1,3,25738,63700,71,1995-02-18,2-HIGH,0,8,1330960,7730149,10,1197864,99822,2,1995-04-22,REG AIR,
2,1,18238,106170,1066,1996-01-30,2-HIGH,0,38,4469446,20397865,0,4469446,70570,5,1996-03-14,RAIL,
2,2,18238,194509,602,1996-01-30,2-HIGH,0,30,4810500,20397865,5,4569975,96210,1,1996-04-15,FOB,
2,3,18238,100164,138,1996-01-30,2-HIGH,0,44,5122304,20397865,7,4763742,69849,3,1996-04-09,SHIP,
2,4,18238,45803,1382,1996-01-30,2-HIGH,0,37,6470560,20397865,9,5888209,104928,5,1996-04-14,AIR,
3,1,20612,4297,1959,1996-08-17,1-URGENT,0,45,5405805,16746878,6,5081456,72077,0,1996-11-07,AIR,
3,2,20612,19036,1667,1996-08-17,1-URGENT,0,49,4679647,16746878,10,4211682,57301,0,1996-10-23,RAIL,
3,3,20612,128449,1409,1996-08-17,1-URGENT,0,27,3989088,16746878,6,3749742,88646,7,1996-09-25,SHIP,
3,4,20612,29380,742,1996-08-17,1-URGENT,0,2,261876,16746878,1,259257,78562,6,1996-11-10,TRUCK,
3,5,20612,183095,1607,1996-08-17,1-URGENT,0,28,3298652,16746878,4,3166705,70685,0,1996-11-13,FOB,
4,1,13813,88035,1812,1994-05-16,4-NOT SPECIFIED,0,30,3069090,3215178,3,2977017,61381,8,1994-07-19,REG AIR,
5,1,5393,108570,42,1997-09-30,5-LOW,0,15,2367855,7508025,2,2320497,94714,4,1997-11-01,AIR,
5,2,5393,123927,259,1997-09-30,5-LOW,0,26,5072392,7508025,7,4717324,117055,8,1997-11-26,FOB,
6,1,2020,139636,576,1993-12-13,3-MEDIUM,0,37,6199831,24363867,8,5703844,100537,3,1994-03-07,TRUCK,
6,2,2020,53077,126,1993-12-13,3-MEDIUM,0,14,1442098,24363867,8,1326730,61804,0,1994-01-30,RAIL,
6,3,2020,63342,1198,1993-12-13,3-MEDIUM,0,47,6135098,24363867,7,5705641,78320,0,1994-02-26,AIR,
